Cosmetic Name,Grade,Unboxing Odds,Quality,multiclass_indicator,misc_indicator,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
All Hallows' Hatte,Elite,0.005,Unique,1,0,17.08,13.7,14.47,12.57,11.05,9.94,9.21,9.16
Balloonicorpse,Elite,0.005,Unique,1,1,10.57,5.16,4.14,3.5,4.4,3.78,3.58,3.48
Wrap-A-Khamon,Assassin,0.01,Unique,1,0,4.6,1.58,1.28,1.16,0.96,0.85,0.84,0.82
Misfortune Fedora,Assassin,0.01,Unique,1,0,3.6,1.36,1.19,1.01,0.89,0.83,0.8,0.73
Wavefinder,Assassin,0.01,Unique,0,0,3.27,1.64,1.29,1.26,1.09,0.96,0.91,0.87
The Fire Tooth,Assassin,0.01,Unique,0,1,4.98,4.69,4.75,4.37,3.69,2.96,2.88,2.96
Semi-tame Trapper's Hat,Commando,0.025,Unique,0,0,1.07,0.5,0.32,0.23,0.2,0.19,0.18,0.17
Gourd Grin,Commando,0.025,Unique,1,1,1.97,1.92,1.82,1.39,1.19,1.03,1.05,1.02
Sir Pumpkinton,Commando,0.025,Unique,1,0,1.49,0.41,0.31,0.28,0.2,0.2,0.2,0.19
Impish Ears,Commando,0.025,Unique,1,1,0.85,0.35,0.25,0.2,0.17,0.16,0.16,0.15
Eye-See-You,Commando,0.025,Unique,1,1,2.28,1.93,1.72,1.52,1.27,1.17,1.2,1.16
Glow from Below,Commando,0.025,Unique,0,0,0.94,0.21,0.19,0.17,0.16,0.15,0.14,0.14
The Ghoul Box,Mercenary,0.08,Unique,0,1,0.37,0.15,0.15,0.14,0.14,0.14,0.14,0.13
Goblineer,Mercenary,0.08,Unique,0,1,0.96,0.43,0.29,0.21,0.17,0.15,0.15,0.15
Hollowed Helm,Mercenary,0.08,Unique,1,0,0.39,0.24,0.17,0.15,0.15,0.14,0.14,0.14
Handsome Devil,Mercenary,0.08,Unique,1,1,1.57,1.18,1.01,0.87,0.78,0.72,0.7,0.66
A Handsome Handy Thing,Mercenary,0.08,Unique,1,0,0.3,0.16,0.14,0.14,0.14,0.13,0.14,0.14
Calamitous Cauldron,Mercenary,0.08,Unique,0,0,0.32,0.15,0.14,0.14,0.14,0.14,0.14,0.13
Flavorful Baggies,Mercenary,0.08,Unique,0,1,0.3,0.2,0.15,0.14,0.14,0.14,0.14,0.14
King Cardbeard,Mercenary,0.08,Unique,1,0,0.27,0.16,0.15,0.14,0.14,0.13,0.13,0.13
The Boom Boxers,Mercenary,0.08,Unique,1,1,0.46,0.23,0.18,0.15,0.16,0.14,0.15,0.14
The Seared Sorcerer,Mercenary,0.08,Unique,1,0,2.14,1.55,1.27,0.91,0.79,0.72,0.72,0.72
All Hallows' Hatte,Elite,0.005,Strange,1,0,66.48,30.96,31.56,38.81,40,36.44,26.99,23.8
Balloonicorpse,Elite,0.005,Strange,1,1,19.72,19.72,13.93,11.9,11.02,14.93,13.7,14.79
Wrap-A-Khamon,Assassin,0.01,Strange,1,0,4.16,4.16,3.15,2.85,2.75,2.68,2.81,2.57
Misfortune Fedora,Assassin,0.01,Strange,1,0,4.57,4.57,2.39,2.25,1.94,2.16,2.48,2.88
Wavefinder,Assassin,0.01,Strange,0,0,5.61,3.09,3.03,3.27,2.9,2.73,2.66,3.03
The Fire Tooth,Assassin,0.01,Strange,0,1,11.33,11.33,11.23,10.94,9.88,8.69,8.4,8.16
Semi-tame Trapper's Hat,Commando,0.025,Strange,0,0,1.8,1.25,0.94,0.85,0.76,0.7,0.67,0.64
Gourd Grin,Commando,0.025,Strange,1,1,6.69,4.94,5.07,4.48,4.36,3.76,3.73,3.52
Sir Pumpkinton,Commando,0.025,Strange,1,0,3.44,1.1,0.71,0.72,0.69,0.81,0.69,0.65
Impish Ears,Commando,0.025,Strange,1,1,3.09,1.25,0.74,0.66,0.6,0.57,0.55,0.54
Eye-See-You,Commando,0.025,Strange,1,1,4.34,3.91,2.94,3.04,2.9,2.85,2.65,2.51
Glow from Below,Commando,0.025,Strange,0,0,1.25,0.66,0.41,0.4,0.37,0.28,0.35,0.38
The Ghoul Box,Mercenary,0.08,Strange,0,1,0.53,0.45,0.31,0.27,0.27,0.25,0.24,0.21
Goblineer,Mercenary,0.08,Strange,0,1,1.75,1.22,0.83,0.66,0.55,0.49,0.49,0.46
Hollowed Helm,Mercenary,0.08,Strange,1,0,0.82,0.75,0.69,0.55,0.46,0.41,0.39,0.37
Handsome Devil,Mercenary,0.08,Strange,1,1,4.56,3.86,4.07,2.9,2.6,2.55,2.57,2.52
A Handsome Handy Thing,Mercenary,0.08,Strange,1,0,0.86,0.36,0.29,0.25,0.22,0.19,0.22,0.22
Calamitous Cauldron,Mercenary,0.08,Strange,0,0,0.36,0.29,0.25,0.22,0.2,0.19,0.18,0.17
Flavorful Baggies,Mercenary,0.08,Strange,0,1,0.76,0.55,0.43,0.31,0.26,0.28,0.28,0.24
King Cardbeard,Mercenary,0.08,Strange,1,0,0.95,0.37,0.29,0.29,0.27,0.25,0.22,0.21
The Boom Boxers,Mercenary,0.08,Strange,1,1,1.41,0.57,0.5,0.43,0.39,0.34,0.34,0.33
The Seared Sorcerer,Mercenary,0.08,Strange,1,0,5.05,4.41,3.25,2.64,2.51,2.22,2.12,2
